timestamp(ms),OrientX,OrientY,OrientZ,GyroX,GyroY,GyroZ,LinearX,LinearY,LinearZ,MagX,MagY,MagZ,AcclX,AcclY,AcclZ,GravityX,GravityY,GravityZ,temperature,
"1678296418,688",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,693",,,,"0,001091",,,,,,,,,,,,,,,,
"1678296418,695",,,,,"0,004363",,,,,,,,,,,,,,,
"1678296418,697",,,,,,"0",,,,,,,,,,,,,,
"1678296418,701",,,,,,,"-0,05",,,,,,,,,,,,,
"1678296418,705",,,,,,,,"-0,09",,,,,,,,,,,,
"1678296418,708",,,,,,,,,"-0,25",,,,,,,,,,,
"1678296418,711",,,,,,,,,,"7,5625",,,,,,,,,,
"1678296418,714",,,,,,,,,,,"-15,1875",,,,,,,,,
"1678296418,716",,,,,,,,,,,,"-62,1875",,,,,,,,
"1678296418,719",,,,,,,,,,,,,"0,16",,,,,,,
"1678296418,722",,,,,,,,,,,,,,"-0,38",,,,,,
"1678296418,726",,,,,,,,,,,,,,,"9,54",,,,,
"1678296418,73",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,732",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,736",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,74",,,,,,,,,,,,,,,,,,,"23",
"1678296418,762","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,767",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,77",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,773",,,,"0",,,,,,,,,,,,,,,,
"1678296418,776",,,,,"-0,001091",,,,,,,,,,,,,,,
"1678296418,779",,,,,,"0",,,,,,,,,,,,,,
"1678296418,781",,,,,,,"-0,08",,,,,,,,,,,,,
"1678296418,786",,,,,,,,"-0,04",,,,,,,,,,,,
"1678296418,788",,,,,,,,,"-0,26",,,,,,,,,,,
"1678296418,792",,,,,,,,,,"6,75",,,,,,,,,,
"1678296418,794",,,,,,,,,,,"-15,1875",,,,,,,,,
"1678296418,798",,,,,,,,,,,,"-62,5625",,,,,,,,
"1678296418,8",,,,,,,,,,,,,"0,13",,,,,,,
"1678296418,803",,,,,,,,,,,,,,"-0,33",,,,,,
"1678296418,806",,,,,,,,,,,,,,,"9,53",,,,,
"1678296418,81",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,814",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,817",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,82",,,,,,,,,,,,,,,,,,,"23",
"1678296418,844","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,847",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,851",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,853",,,,"-0,002182",,,,,,,,,,,,,,,,
"1678296418,856",,,,,"0,002182",,,,,,,,,,,,,,,
"1678296418,859",,,,,,"0",,,,,,,,,,,,,,
"1678296418,864",,,,,,,"-0,06",,,,,,,,,,,,,
"1678296418,866",,,,,,,,"-0,09",,,,,,,,,,,,
"1678296418,87",,,,,,,,,"-0,26",,,,,,,,,,,
"1678296418,872",,,,,,,,,,"7,1875",,,,,,,,,,
"1678296418,876",,,,,,,,,,,"-14,75",,,,,,,,,
"1678296418,879",,,,,,,,,,,,"-61,5",,,,,,,,
"1678296418,882",,,,,,,,,,,,,"0,15",,,,,,,
"1678296418,885",,,,,,,,,,,,,,"-0,38",,,,,,
"1678296418,888",,,,,,,,,,,,,,,"9,53",,,,,
"1678296418,892",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,895",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,898",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,901",,,,,,,,,,,,,,,,,,,"23",
"1678296418,926","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,929",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,932",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,936",,,,"0,002182",,,,,,,,,,,,,,,,
"1678296418,939",,,,,"-0,003272",,,,,,,,,,,,,,,
"1678296418,942",,,,,,"0",,,,,,,,,,,,,,
"1678296418,944",,,,,,,"-0,1",,,,,,,,,,,,,
"1678296418,947",,,,,,,,"-0,08",,,,,,,,,,,,
"1678296418,952",,,,,,,,,"-0,24",,,,,,,,,,,
"1678296418,955",,,,,,,,,,"7,1875",,,,,,,,,,
"1678296418,958",,,,,,,,,,,"-14,75",,,,,,,,,
"1678296418,961",,,,,,,,,,,,"-60,6875",,,,,,,,
"1678296418,964",,,,,,,,,,,,,"0,11",,,,,,,
"1678296418,967",,,,,,,,,,,,,,"-0,37",,,,,,
"1678296418,97",,,,,,,,,,,,,,,"9,55",,,,,
"1678296418,972",,,,,,,,,,,,,,,,"0,21",,,,
"1678296418,977",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,98",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,983",,,,,,,,,,,,,,,,,,,"23",
"1678296419,014","326,0625",,,,,,,,,,,,,,,,,,,
"1678296419,018",,"1,25",,,,,,,,,,,,,,,,,,
"1678296419,021",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296419,024",,,,"-0,001091",,,,,,,,,,,,,,,,
"1678296419,027",,,,,"0,001091",,,,,,,,,,,,,,,
"1678296419,03",,,,,,"0,001091",,,,,,,,,,,,,,
"1678296419,033",,,,,,,"0",,,,,,,,,,,,,
"1678296419,036",,,,,,,,"-0,02",,,,,,,,,,,,
"1678296419,04",,,,,,,,,"-0,26",,,,,,,,,,,
"1678296419,042",,,,,,,,,,"7,875",,,,,,,,,,
"1678296419,046",,,,,,,,,,,"-15,1875",,,,,,,,,
"1678296419,049",,,,,,,,,,,,"-61,375",,,,,,,,
"1678296419,051",,,,,,,,,,,,,"0,21",,,,,,,
"1678296419,054",,,,,,,,,,,,,,"-0,31",,,,,,
"1678296419,057",,,,,,,,,,,,,,,"9,53",,,,,
"1678296419,061",,,,,,,,,,,,,,,,"0,21",,,,
"1678296419,065",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296419,067",,,,,,,,,,,,,,,,,,"9,79",,
"1678296419,072",,,,,,,,,,,,,,,,,,,"23",
"1678296419,095","326,0625",,,,,,,,,,,,,,,,,,,
"1678296419,098",,"1,25",,,,,,,,,,,,,,,,,,
"1678296419,102",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296419,105",,,,"0,001091",,,,,,,,,,,,,,,,
"1678296419,108",,,,,"-0,004363",,,,,,,,,,,,,,,
"1678296419,111",,,,,,"0,002182",,,,,,,,,,,,,,
"1678296419,114",,,,,,,"-0,11",,,,,,,,,,,,,
"1678296419,118",,,,,,,,"-0,1",,,,,,,,,,,,
"1678296419,121",,,,,,,,,"-0,26",,,,,,,,,,,
"1678296419,124",,,,,,,,,,"8,25",,,,,,,,,,
"1678296419,127",,,,,,,,,,,"-15,1875",,,,,,,,,
"1678296419,13",,,,,,,,,,,,"-62,1875",,,,,,,,
"1678296419,132",,,,,,,,,,,,,"0,1",,,,,,,
"1678296419,135",,,,,,,,,,,,,,"-0,39",,,,,,
"1678296419,139",,,,,,,,,,,,,,,"9,53",,,,,
"1678296419,142",,,,,,,,,,,,,,,,"0,21",,,,
"1678296419,146",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296419,149",,,,,,,,,,,,,,,,,,"9,79",,
"1678296419,153",,,,,,,,,,,,,,,,,,,"23",
"1678296419,176","326,0625",,,,,,,,,,,,,,,,,,,
"1678296419,18",,"1,25",,,,,,,,,,,,,,,,,,
"1678296419,183",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296419,186",,,,"-0,004363",,,,,,,,,,,,,,,,
"1678296419,189",,,,,"0,001091",,,,,,,,,,,,,,,
"1678296419,192",,,,,,"0",,,,,,,,,,,,,,
"1678296419,195",,,,,,,"0",,,,,,,,,,,,,
"1678296419,199",,,,,,,,"-0,06",,,,,,,,,,,,
"1678296419,202",,,,,,,,,"-0,28",,,,,,,,,,,
"1678296419,204",,,,,,,,,,"7,875",,,,,,,,,,
"1678296419,208",,,,,,,,,,,"-14,375",,,,,,,,,
"1678296419,211",,,,,,,,,,,,"-61,0625",,,,,,,,
"1678296419,214",,,,,,,,,,,,,"0,21",,,,,,,
"1678296419,217",,,,,,,,,,,,,,"-0,35",,,,,,
"1678296419,22",,,,,,,,,,,,,,,"9,51",,,,,
"1678296419,222",,,,,,,,,,,,,,,,"0,21",,,,
"1678296419,227",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296419,229",,,,,,,,,,,,,,,,,,"9,79",,
"1678296419,234",,,,,,,,,,,,,,,,,,,"23",
"1678296419,258","326,0625",,,,,,,,,,,,,,,,,,,
"1678296419,261",,"1,25",,,,,,,,,,,,,,,,,,
"1678296419,265",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296419,268",,,,"-0,001091",,,,,,,,,,,,,,,,
"1678296419,27",,,,,"0,001091",,,,,,,,,,,,,,,
"1678296419,274",,,,,,"0,003272",,,,,,,,,,,,,,
