timestamp(ms),temperature,OrientX(deg),OrientY(deg),OrientZ(deg),GyroX(rad/s),GyroY(rad/s),GyroZ(rad/s),LinearX(m/s^2),LinearY(m/s^2),LinearZ(m/s^2),MagX(uT),MagY(uT),MagZ(uT),AcclX(m/s^2),AcclY(m/s^2),AcclZ(m/s^2),GravityX(m/s^2),GravityY(m/s^2),GravityZ(m/s^2),
"1678298652,142",,,,,,,,,,,,,,,,,"0",,,
"1678298652,146",,,,,,,,,,,,,,,,,,"0",,
"1678298652,152",,,,,,,,,,,,,,,,,,,"0",
"1678298652,154","24",,,,,,,,,,,,,,,,,,,
"1678298652,184",,"0",,,,,,,,,,,,,,,,,,
"1678298652,187",,,"0",,,,,,,,,,,,,,,,,
"1678298652,192",,,,"0",,,,,,,,,,,,,,,,
"1678298652,196",,,,,"0",,,,,,,,,,,,,,,
"1678298652,2",,,,,,"0",,,,,,,,,,,,,,
"1678298652,204",,,,,,,"0",,,,,,,,,,,,,
"1678298652,208",,,,,,,,"0",,,,,,,,,,,,
"1678298652,213",,,,,,,,,"0",,,,,,,,,,,
"1678298652,217",,,,,,,,,,"0",,,,,,,,,,
"1678298652,221",,,,,,,,,,,"0",,,,,,,,,
"1678298652,224",,,,,,,,,,,,"0",,,,,,,,
"1678298652,228",,,,,,,,,,,,,"0",,,,,,,
"1678298652,232",,,,,,,,,,,,,,"0,06",,,,,,
"1678298652,236",,,,,,,,,,,,,,,"-0,3",,,,,
"1678298652,24",,,,,,,,,,,,,,,,"9,56",,,,
"1678298652,245",,,,,,,,,,,,,,,,,"0",,,
"1678298652,249",,,,,,,,,,,,,,,,,,"0",,
"1678298652,254",,,,,,,,,,,,,,,,,,,"0",
"1678298652,257","24",,,,,,,,,,,,,,,,,,,
"1678298652,287",,"0",,,,,,,,,,,,,,,,,,
"1678298652,291",,,"0",,,,,,,,,,,,,,,,,
"1678298652,295",,,,"0",,,,,,,,,,,,,,,,
"1678298652,299",,,,,"0",,,,,,,,,,,,,,,
"1678298652,303",,,,,,"0",,,,,,,,,,,,,,
"1678298652,307",,,,,,,"0",,,,,,,,,,,,,
"1678298652,312",,,,,,,,"0",,,,,,,,,,,,
"1678298652,316",,,,,,,,,"0",,,,,,,,,,,
"1678298652,321",,,,,,,,,,"0",,,,,,,,,,
"1678298652,324",,,,,,,,,,,"0",,,,,,,,,
"1678298652,328",,,,,,,,,,,,"0",,,,,,,,
"1678298652,333",,,,,,,,,,,,,"0",,,,,,,
"1678298652,336",,,,,,,,,,,,,,"0,05",,,,,,
"1678298652,343",,,,,,,,,,,,,,,"-0,31",,,,,
"1678298652,344",,,,,,,,,,,,,,,,"9,58",,,,
"1678298652,348",,,,,,,,,,,,,,,,,"0",,,
"1678298652,353",,,,,,,,,,,,,,,,,,"0",,
"1678298652,358",,,,,,,,,,,,,,,,,,,"0",
"1678298652,361","24",,,,,,,,,,,,,,,,,,,
"1678298652,39",,"0",,,,,,,,,,,,,,,,,,
"1678298652,394",,,"0",,,,,,,,,,,,,,,,,
"1678298652,399",,,,"0",,,,,,,,,,,,,,,,
"1678298652,403",,,,,"0",,,,,,,,,,,,,,,
"1678298652,407",,,,,,"0",,,,,,,,,,,,,,
"1678298652,411",,,,,,,"0",,,,,,,,,,,,,
"1678298652,415",,,,,,,,"0",,,,,,,,,,,,
"1678298652,42",,,,,,,,,"0",,,,,,,,,,,
"1678298652,424",,,,,,,,,,"0",,,,,,,,,,
"1678298652,428",,,,,,,,,,,"0",,,,,,,,,
"1678298652,431",,,,,,,,,,,,"0",,,,,,,,
"1678298652,435",,,,,,,,,,,,,"0",,,,,,,
"1678298652,439",,,,,,,,,,,,,,"0,08",,,,,,
"1678298652,443",,,,,,,,,,,,,,,"-0,3",,,,,
"1678298652,447",,,,,,,,,,,,,,,,"9,79",,,,
"1678298652,452",,,,,,,,,,,,,,,,,"0",,,
"1678298652,456",,,,,,,,,,,,,,,,,,"0",,
"1678298652,461",,,,,,,,,,,,,,,,,,,"0",
"1678298652,464","24",,,,,,,,,,,,,,,,,,,
"1678298652,494",,"0",,,,,,,,,,,,,,,,,,
"1678298652,498",,,"0",,,,,,,,,,,,,,,,,
"1678298652,502",,,,"0",,,,,,,,,,,,,,,,
"1678298652,506",,,,,"0",,,,,,,,,,,,,,,
"1678298652,51",,,,,,"0",,,,,,,,,,,,,,
"1678298652,514",,,,,,,"0",,,,,,,,,,,,,
"1678298652,519",,,,,,,,"0",,,,,,,,,,,,
"1678298652,523",,,,,,,,,"0",,,,,,,,,,,
"1678298652,528",,,,,,,,,,"0",,,,,,,,,,
"1678298652,531",,,,,,,,,,,"0",,,,,,,,,
"1678298652,534",,,,,,,,,,,,"0",,,,,,,,
"1678298652,538",,,,,,,,,,,,,"0",,,,,,,
"1678298652,542",,,,,,,,,,,,,,"0,03",,,,,,
"1678298652,546",,,,,,,,,,,,,,,"-0,32",,,,,
"1678298652,55",,,,,,,,,,,,,,,,"9,56",,,,
"1678298652,555",,,,,,,,,,,,,,,,,"0",,,
"1678298652,56",,,,,,,,,,,,,,,,,,"0",,
"1678298652,564",,,,,,,,,,,,,,,,,,,"0",
"1678298652,568","24",,,,,,,,,,,,,,,,,,,
"1678298652,597",,"0",,,,,,,,,,,,,,,,,,
"1678298652,601",,,"0",,,,,,,,,,,,,,,,,
"1678298652,606",,,,"0",,,,,,,,,,,,,,,,
"1678298652,609",,,,,"0",,,,,,,,,,,,,,,
"1678298652,613",,,,,,"0",,,,,,,,,,,,,,
"1678298652,617",,,,,,,"0",,,,,,,,,,,,,
"1678298652,622",,,,,,,,"0",,,,,,,,,,,,
"1678298652,626",,,,,,,,,"0",,,,,,,,,,,
"1678298652,631",,,,,,,,,,"0",,,,,,,,,,
"1678298652,634",,,,,,,,,,,"0",,,,,,,,,
"1678298652,638",,,,,,,,,,,,"0",,,,,,,,
"1678298652,641",,,,,,,,,,,,,"0",,,,,,,
"1678298652,645",,,,,,,,,,,,,,"0,06",,,,,,
"1678298652,65",,,,,,,,,,,,,,,"-0,31",,,,,
"1678298652,654",,,,,,,,,,,,,,,,"9,56",,,,
"1678298652,658",,,,,,,,,,,,,,,,,"0",,,
"1678298652,663",,,,,,,,,,,,,,,,,,"0",,
"1678298652,668",,,,,,,,,,,,,,,,,,,"0",
"1678298652,671","24",,,,,,,,,,,,,,,,,,,
"1678298652,7",,"0",,,,,,,,,,,,,,,,,,
"1678298652,705",,,"0",,,,,,,,,,,,,,,,,
"1678298652,708",,,,"0",,,,,,,,,,,,,,,,
"1678298652,712",,,,,"0",,,,,,,,,,,,,,,
"1678298652,717",,,,,,"0",,,,,,,,,,,,,,
"1678298652,721",,,,,,,"0",,,,,,,,,,,,,
